square_feet,bedrooms,bathrooms,age_years,lot_size,garage_spaces,neighborhood_score,price
1670,3,2,19,3636,3,9,383117.6152311175
3642,1,3,48,5583,0,7,592306.1325193365
1192,4,2,24,9323,2,2,340276.3397272175
1006,2,2,39,6009,2,8,250025.0793193476
1838,2,1,23,5326,3,7,380607.0274533311
2681,5,1,13,4218,0,8,551800.791626327
3739,3,2,25,7847,2,3,708338.2485368194
2284,2,3,37,4217,3,7,426794.2916161479
1663,1,1,22,7883,1,10,346459.96507488965
3590,5,3,21,6967,0,9,730572.9688251971
1363,4,3,47,4369,1,3,275429.31446911907
1820,5,2,18,5638,0,10,458095.42380418204
895,4,2,45,4503,3,6,213968.5512166165
2723,5,2,2,2943,2,2,567595.5616873424
2557,5,2,41,7722,2,2,504014.11990921467
3332,5,1,18,4837,2,5,651309.3030720911
3078,4,1,8,4660,0,5,600796.7953972813
3596,4,2,27,9322,3,7,721353.0378681363
2478,5,1,19,4936,1,2,498634.22305329423
1340,2,2,44,6444,3,7,271717.6624656336
1859,3,3,6,9618,1,5,492673.69863546576
3372,3,3,13,5947,0,6,656764.4806829151
1983,3,3,8,3676,0,8,450373.58321536146
2522,4,2,18,3196,1,10,510407.5131387578
3957,4,3,46,6105,1,4,706410.6274277108
2619,2,1,13,4787,1,7,508752.7803731606
3425,3,3,37,9432,3,6,677931.6580039278
3529,3,3,35,3461,1,10,629835.8618178352
3404,5,3,39,9927,0,2,685441.9897035593
2397,4,1,16,5318,0,8,497323.34825469786
3860,3,2,29,2666,2,10,677738.8018469473
3493,2,1,8,8689,1,9,678583.889478515
1595,2,2,32,7618,3,5,349786.6479411461
1851,3,2,24,4176,3,10,408530.9335307418
2443,4,3,13,5743,3,4,539946.4130041805
2163,2,2,10,2600,2,6,418291.2117301002
2781,5,1,34,4652,0,8,520784.5744616879
2154,2,1,40,6422,3,3,370317.2889549629
2463,1,2,13,5824,0,10,469517.1730777952
2329,1,3,29,5906,2,1,430004.62506804126
2838,4,3,40,2979,1,4,508562.1248450812
2296,3,1,3,4451,1,4,480046.144642311
3037,4,3,3,2628,1,1,609177.1374875256
2208,4,2,27,3629,3,9,445804.95786561945
2200,4,2,7,9842,1,3,544969.7558422169
2106,4,1,1,9778,3,5,544787.9864559171
3480,5,2,40,5696,2,6,647021.3732516514
3475,5,1,45,5430,2,8,638751.9154289499
1772,2,2,21,5674,3,6,374975.017625908
2568,1,1,40,5929,0,3,409466.70376748336
2082,4,3,15,4765,1,6,465305.01593045035
1509,2,2,28,9184,1,1,322258.93547465425
2279,1,2,48,6369,1,4,372711.8281038703
2234,3,1,47,6780,3,6,415662.71053725167
1448,5,1,29,2115,2,7,322373.20306385396
1117,1,2,11,6956,1,10,288269.6944177744
2057,3,1,34,4003,2,3,370581.00937868864
1483,1,2,10,2692,1,9,314062.94752580737
1463,5,3,45,5162,1,7,351621.0696987746
2798,5,1,49,3105,3,1,487575.01030599215
2431,2,2,20,8467,0,2,478618.84799545765
2295,4,3,20,5008,3,1,509047.1791471616
1936,1,3,4,4161,1,9,409248.2666344522
2653,1,2,47,7888,1,9,469705.6029708672
2320,3,1,19,9225,0,7,510068.9109295996
3289,5,2,36,2153,2,10,617689.080927489
1363,1,3,2,7996,2,3,362384.7577293517
2091,5,2,43,7523,1,5,447597.0295333702
3984,1,1,32,5699,2,4,657950.8765104626
2436,2,3,8,7385,1,7,520020.2507473833
3799,4,2,8,6410,0,9,745248.7573962036
3952,1,1,3,5786,0,2,681684.4223450827
1498,5,3,34,3064,1,8,373716.53757512
2960,2,1,16,6200,0,9,559797.676360409
801,1,3,33,8020,3,10,234669.54241489756
1441,3,2,23,3913,3,10,341176.92294615094
3067,4,1,31,3216,0,9,546066.768559037
2389,1,3,0,7520,1,10,526452.1100776646
1654,2,1,7,9445,1,7,419338.8955855678
2559,3,1,44,4401,0,9,428142.56870736496
3232,2,2,22,9159,2,9,655477.8085573438
2461,2,1,46,3772,3,3,402152.29690184625
1953,3,3,39,3960,2,4,392458.61670603696
1876,2,3,11,4780,1,2,398570.60487974744
2507,3,3,11,7699,1,10,569540.5928092089
3577,1,3,45,6804,2,3,584258.4818547529
2495,3,2,46,9423,0,5,476233.375929332
2533,3,1,14,6746,2,5,524346.5484764315
2239,4,2,40,4871,2,6,455520.63061781396
3094,3,1,18,7042,3,7,598448.4318319755
1635,3,1,25,2660,3,7,329194.94063014735
1002,1,1,28,8242,2,1,223207.00779767477
922,4,2,21,4635,2,2,254692.10797807516
1200,5,1,39,4329,1,9,298203.492417584
1566,1,2,20,5954,3,10,342200.0966825739
1093,1,3,37,4450,3,2,218496.09648822976
3127,5,3,19,3132,1,6,625850.5062808812
3731,3,1,28,2699,0,1,600746.6149428033
997,2,2,3,8342,3,3,320899.55014519446
3829,4,3,6,9470,3,2,800893.9042143198
2730,2,2,27,4038,0,3,471161.4211772134
3599,5,2,27,8470,3,5,723265.3837831966
2991,1,1,3,8297,3,10,608815.2467078295
1408,1,3,21,6647,0,6,335206.1726849229
1947,4,1,11,9812,0,9,491568.8723283913
986,1,1,44,6500,2,10,209861.1821491113
3311,1,3,2,6557,1,4,626317.7807484653
2594,4,3,21,4179,1,7,541467.6143929377
1459,4,2,43,4838,0,6,298256.31681028934
3611,5,3,1,2873,0,2,704610.750724681
3802,1,2,23,2083,3,10,632736.2859254096
2755,1,2,33,3422,2,8,477388.9933441357
3250,5,2,26,8897,2,7,694970.1582866964
2169,3,3,40,4675,0,7,420530.047220544
2786,3,1,0,5180,3,8,568372.9944011007
2334,3,2,7,6316,3,1,505297.1934861206
946,5,1,22,5975,1,1,283667.0000890174
3711,1,1,37,8696,1,8,635365.362295786
2534,5,3,5,3391,3,4,557572.0641651925
2643,5,1,21,5218,1,5,532726.8215198013
1288,3,1,24,6207,0,8,305629.2223585128
3776,2,3,17,2614,3,5,678902.909095172
2759,1,2,16,7677,1,10,521658.72178900056
2463,3,1,11,4971,2,4,492538.7602452014
3398,2,3,5,5565,3,6,674780.4876987896
3185,2,1,25,5576,3,5,577006.1198851621
3719,4,1,26,6570,2,7,704478.5758423744
1440,1,2,7,8979,0,10,377615.71318808803
2602,2,1,18,8009,2,7,512390.59493298066
3320,3,3,41,2270,3,4,551619.978628767
2769,4,1,0,6066,0,5,582079.472429386
2998,1,2,28,4468,1,3,512396.3182520856
2238,5,2,44,8016,1,4,488794.54527524434
2434,3,3,48,8850,1,4,486705.49102297786
1062,2,2,34,3390,3,3,223493.40822801733
2587,2,1,39,9447,2,10,503316.39648385963
2991,3,2,13,5354,0,5,575628.8125323922
3193,2,3,34,6135,1,5,575999.3970644638
1423,4,2,47,8078,0,7,347920.6952582633
1816,1,2,44,8332,3,4,335294.4199420812
1680,4,2,19,9331,1,4,450457.78790709854
2849,2,3,48,7089,3,9,526019.7184550794
3744,5,2,12,8108,2,6,789934.3210909507
2127,1,2,37,5607,3,4,364051.84990502463
3101,1,1,48,4583,3,2,476839.0420116465
1252,3,3,45,6073,2,6,284162.2986405238
3908,3,2,48,5075,0,2,622797.3280807581
1983,5,3,7,5906,2,5,514695.3404241095
3862,1,2,42,2289,2,6,606284.7178859597
2856,5,2,19,4480,3,4,583750.585614065
3970,3,2,32,8614,0,3,701649.840395416
2482,3,1,25,5252,1,7,474901.55235665047
3663,1,1,38,9415,2,2,617725.6467122282
3055,4,1,20,8771,0,6,624443.1962755449
1954,2,3,48,2278,2,4,336375.9457136449
1203,3,3,41,4924,2,6,280095.84818727506
2999,3,1,42,2580,2,4,507205.0331479426
2901,4,3,40,6958,2,4,573972.3474453529
3991,4,2,8,2253,3,4,738715.734939931
2496,5,2,23,6276,0,9,532044.3264089717
1427,5,2,36,9997,0,7,390393.4047968383
1386,2,1,48,6776,0,3,240296.13054588865
2448,2,3,40,2824,2,3,429043.0479628147
2243,1,1,16,9676,3,6,473834.83624066855
2245,5,3,23,5832,2,6,510276.30878367386
903,3,2,20,2699,2,4,236162.54386411037
1053,5,1,38,8709,0,9,317755.31171729055
3983,3,3,40,7445,2,4,734180.3135938783
3357,4,3,38,3380,1,9,627225.0396741406
2296,5,2,12,5896,2,4,538968.4665431147
898,4,1,10,3673,1,2,258030.85994615164
3000,2,1,45,4727,2,2,482153.1200542345
2684,2,1,18,8534,3,5,549435.0490070616
3761,1,2,10,7734,3,4,685162.2260252035
2719,5,1,12,8053,0,7,596885.6067278305
1677,4,2,45,5156,2,5,340384.3125124376
1137,3,2,44,5388,1,6,253221.53118726125
3669,2,2,0,6307,1,10,730722.2217565079
1756,2,3,39,7634,2,4,362770.25713278924
2504,3,1,43,2383,1,2,375526.9563253056
960,4,1,18,7810,3,10,321977.7925497553
2403,4,2,11,2341,1,9,512994.73732017406
3648,5,2,7,7934,0,10,777916.2990294988
1197,5,1,7,3987,3,7,360701.86247810576
2100,1,2,44,6059,3,4,361790.0669812552
1615,2,1,11,6939,3,3,355849.69263780216
2327,5,3,47,5109,2,10,496292.9432162447
2719,4,2,32,6082,2,3,525327.1818996537
2215,3,1,44,7630,3,9,459390.9673338046
1958,4,2,25,6515,2,5,449555.07208354515
2018,2,1,38,4798,1,3,337873.5169744605
1200,4,1,27,5240,2,5,292286.1475261137
1439,1,2,4,3988,2,2,312800.5579338641
3904,2,3,7,8028,3,4,761484.9807797825
3535,3,1,24,5414,0,10,652558.3377552995
1259,1,1,26,3849,0,2,218204.16169744046
1754,2,1,45,2305,0,2,249833.68261091472
1269,3,3,22,5613,1,8,355384.40685155784
1845,1,3,29,4749,2,1,344733.0833152022
3597,1,2,44,6964,0,7,599878.396759689
2493,2,3,46,8680,3,5,477667.7349255524
2885,5,2,22,3135,0,8,577731.1562774453
3077,1,2,48,7530,0,1,496961.09991143196
1362,1,3,46,2205,2,7,211453.50707903848
3285,3,2,19,9352,2,5,683422.7511046064
2599,4,3,17,9549,2,4,611246.4446092255
2874,2,2,17,6591,1,7,555038.0468385401
1025,2,3,1,5450,1,10,315227.30259544146
1597,5,3,3,9214,0,2,480165.61613803555
3131,5,2,29,8005,2,1,635566.9769941439
3726,2,1,32,5811,0,1,614566.6894856323
1759,5,2,35,5622,3,1,399985.7739619409
2304,3,3,17,5599,3,5,507652.4098930593
1252,2,1,36,4551,2,10,270783.0569939181
3867,5,2,18,7141,2,7,782141.0320512864
1615,2,2,46,6308,3,2,293833.4450109006
1458,4,2,27,2309,2,10,351415.6285271245
1346,1,1,39,4708,1,8,251386.14563488288
2015,2,3,19,3991,1,4,437680.5673451208
3920,1,2,48,8896,2,3,638725.059667604
816,5,2,32,2271,3,10,258538.82013150275
2043,1,2,11,5642,0,8,394049.01296811015
3005,2,2,14,6086,2,2,575141.4915637921
3324,4,2,40,3822,2,3,580337.9970183322
1869,5,3,38,9081,0,3,468394.45794824953
3365,2,3,1,5273,2,10,672733.8502998141
2946,5,2,28,8175,0,1,583758.1696203274
2568,3,1,40,6538,3,6,473867.3625929748
1860,1,3,9,8305,1,2,400295.12228782865
3127,3,1,1,8910,3,1,656660.9945450731
3344,2,3,10,6349,1,2,620439.1695374368
1101,4,2,12,2520,0,6,294634.5758118316
980,5,3,9,2976,1,4,299981.88180143805
1406,1,2,13,5722,3,6,321917.0219546336
3970,5,3,17,5551,1,9,810443.7815580453
1499,2,2,8,6105,0,10,373506.47891435795
1792,5,2,38,4773,1,10,396895.0639503507
1939,1,2,27,4552,2,8,366057.96511060913
990,2,2,2,4832,3,1,281000.1687204445
3100,5,1,19,5907,2,8,639796.3034584341
1780,4,2,5,7679,0,9,457121.41636719176
3775,2,1,26,8579,1,6,683965.6727384733
2806,2,1,1,7230,2,10,559156.0836839722
1984,4,2,28,2152,2,5,391821.1544763619
927,3,1,37,7754,1,6,235707.26157548456
2865,1,3,2,4964,1,6,569723.2682607124
2616,3,2,15,4916,3,9,543786.3085267687
2558,5,1,29,9269,2,4,541334.3694614371
3413,4,2,39,4800,2,2,598100.0687418298
1369,3,2,1,7952,0,9,401856.80009547406
2146,2,2,16,7310,3,2,453209.3265813544
2695,5,1,40,3752,0,10,500978.75890364253
3533,5,3,11,4610,2,9,731241.6621048802
1425,3,3,34,5875,0,2,322461.6799715929
3701,3,1,42,3104,2,8,606013.0742713079
2486,4,2,0,4536,2,9,564379.0875597092
3809,1,1,44,6990,0,10,639949.3658808054
954,3,1,14,7207,0,9,274933.17363116075
3337,3,1,25,9361,1,10,635641.5726842534
2209,2,2,36,6199,1,9,431175.8966479861
1584,5,1,20,5854,1,2,375353.56938705896
3975,1,2,48,9263,2,4,661697.6247225738
1045,2,1,30,5494,0,7,219878.43621868885
3910,4,3,24,3914,3,2,721041.9985923249
2300,4,1,22,9365,2,1,518635.38112096343
2505,3,1,23,5072,3,3,487491.28458618117
3606,3,3,37,3006,0,4,622582.2351188698
1337,4,2,27,2406,2,8,300447.72944207356
2690,3,2,20,7497,3,6,549958.4626344714
2641,1,1,42,2166,3,2,361419.21340514574
1720,3,3,17,2508,1,9,377986.1917891725
3255,5,2,35,3661,1,2,605427.0318638566
1324,3,1,34,8456,1,5,315329.4651574837
3675,2,3,44,5664,2,4,624674.8673704788
2329,1,2,8,5489,0,7,459016.9971628195
3750,2,2,37,6858,0,8,644191.1445742459
835,2,3,29,2680,1,5,201097.58882401785
1484,5,3,43,4524,1,10,369498.7827948062
819,1,3,33,4120,1,5,166891.13212589527
3168,1,3,31,7260,3,2,574796.4768783735
3359,1,1,2,6677,1,8,639944.3487095467
1199,1,3,2,6357,3,2,321268.9971103663
3501,1,2,27,3363,0,10,591787.0061212059
1771,5,2,43,3331,2,6,399106.5444447255
2706,3,1,14,4292,2,8,528776.5720701311
3318,2,2,40,3538,2,6,555013.0705000532
1966,1,2,22,5408,2,4,369599.4291633861
1915,3,3,39,9742,3,4,440482.5116260205
1633,3,2,10,2560,3,6,378152.71624982305
2623,2,1,47,3099,1,4,404388.4234027014
3574,5,3,31,3903,3,8,686933.0468029114
2782,4,3,35,2174,1,9,528103.6177132545
1653,4,1,32,4156,1,1,343131.9593871764
850,3,3,23,4230,2,4,255286.35764514527
1374,2,3,38,6287,3,4,314589.8718907184
1948,4,1,33,6160,3,2,401429.8802998737
2997,3,3,27,5920,1,6,590249.0023942371
3161,5,1,36,9106,1,3,625002.6783821653
3417,4,1,6,3497,0,7,642010.8927031277
3152,3,2,3,5854,0,5,633525.2100479887
2515,3,2,36,5171,1,4,454043.0333655969
1481,1,3,0,3567,0,5,331491.1972511521
1637,5,3,0,9007,0,8,506513.2830729237
1877,1,1,46,3151,1,3,273032.44273380126
3850,2,3,19,9619,1,7,734797.6753492287
3291,1,1,18,8033,3,6,616519.8577118288
3460,1,1,28,2368,1,1,535400.0627830047
3840,4,3,9,6946,1,7,771412.7156438911
3111,3,1,17,2042,2,7,543694.1520355083
3924,5,2,27,3907,3,1,720220.9542091857
2395,1,3,34,5490,3,9,448690.5628613884
3851,5,2,42,4535,3,6,703131.4045705303
804,1,3,46,6173,2,2,167698.83338844433
1926,2,1,30,4873,1,5,332555.4313925499
2019,1,3,26,3824,3,4,377206.5306169884
1573,4,2,10,3293,3,7,391823.80888931686
1676,3,1,48,6769,0,8,328426.6102477406
1791,2,3,48,6796,3,1,336628.0032538895
3731,1,3,37,6854,1,5,655976.7467337257
846,5,3,4,8019,1,3,338973.59449348244
3714,2,2,7,8871,0,1,717921.6749780262
3670,2,2,33,5386,3,3,630116.8102912189
3783,1,3,47,4972,3,6,629765.8487234355
3503,2,1,11,5922,3,7,654468.0148405873
1068,5,1,37,6997,2,8,316565.5553602547
1169,2,2,0,9032,3,4,358796.3803544719
1435,5,1,30,2992,1,3,303183.79574822186
1929,1,2,3,7287,1,5,440425.0428727106
2493,3,3,48,4386,2,9,462675.1935411786
2482,2,2,44,4240,2,6,426915.58473624213
1456,3,2,49,3476,3,9,299507.51914044796
919,5,3,4,8426,0,6,366790.4475790557
1630,2,1,29,5407,2,2,317524.9089763926
2610,4,2,23,2389,2,5,498491.0524353711
1881,3,2,2,2999,3,9,438818.30644355627
2774,2,3,10,6620,3,8,587022.7896538429
2169,3,1,44,9407,2,7,422417.78138553066
1540,2,2,3,3855,0,1,328761.62957179564
916,1,3,25,7602,2,4,263930.72892413137
2653,3,2,26,2658,3,7,507391.911885848
3638,4,3,45,4763,3,7,663703.6042267276
1950,4,1,42,5663,2,6,390561.23458512896
2731,5,1,26,6986,0,8,563567.5749436354
1812,2,1,41,9722,2,6,383585.8338582798
2464,3,1,49,3481,2,10,419406.4742220584
1881,5,2,5,9256,3,3,521028.4209213485
1433,3,2,14,5731,0,4,357720.3014414206
1312,2,1,29,9262,1,3,292646.28515154094
3649,4,1,41,2451,0,1,603447.8918449689
1919,1,1,36,4475,2,10,320295.38590256625
1941,4,2,36,5222,2,5,422666.421311128
1359,5,1,41,3537,2,1,281493.2441604803
1287,1,1,36,9543,0,1,252053.01252174718
1696,5,1,34,5093,3,2,354429.8982881706
2012,2,3,22,2882,2,4,389072.0528262231
1503,1,1,5,6408,2,6,332131.93468973116
2270,5,3,3,6068,0,8,558103.5365462652
1380,2,3,17,6935,1,3,339976.8903421112
3637,4,1,8,4566,1,1,687787.916144729
3708,2,3,48,5277,3,3,624046.0335140063
3094,3,1,28,2374,3,3,533916.7665340111
3947,2,2,12,6546,2,5,717554.8061115444
953,2,2,46,5697,0,4,181112.4591039727
2479,3,2,16,9951,2,4,569347.2501835132
1796,5,2,44,5062,3,9,396667.98965236754
3957,5,3,31,6690,0,7,781012.0825205729
3544,2,1,47,5250,0,4,554669.3880111914
2043,3,1,21,7329,3,3,436762.879361435
1892,3,1,3,6595,1,6,452453.6516022993
3918,4,2,4,6559,1,3,782008.9242193865
1808,5,2,36,9291,0,6,439001.87439720915
2941,1,1,40,2112,2,9,450387.56946478464
2573,5,2,48,7131,1,6,513700.7955147779
1757,5,1,12,5197,2,4,431899.5752823212
3859,4,1,33,9732,1,5,734083.0368686975
1252,1,1,44,4378,1,6,201622.29858994152
2027,4,1,21,3924,2,3,421478.8629802315
3759,1,1,22,9450,3,8,704733.5973227094
3065,2,1,2,2139,1,4,552953.0961226479
3321,1,1,41,3424,1,8,517506.5285600478
3279,4,2,33,4949,2,10,610150.8917490994
3188,5,1,31,5168,3,10,601572.6986317093
1350,1,1,44,2516,1,3,192543.75729230169
2435,1,2,48,4616,1,10,399461.7576871913
2112,3,2,20,8043,3,7,478082.17325085256
2557,5,2,45,8989,1,9,547875.3020418634
1156,2,1,43,9236,3,4,261155.96270803091
2870,4,3,20,8261,3,8,648387.802506339
2585,2,3,43,2887,2,3,435481.1086825898
3369,5,2,10,9226,0,7,721140.7671492983
2581,1,3,38,5104,3,3,461091.6623895929
3971,1,2,3,7437,2,7,742848.689250538
3649,5,1,0,2049,0,10,718105.366836723
3609,1,3,27,5951,1,10,642085.892938072
3289,1,1,23,5560,0,6,549451.7311450256
2431,1,3,34,2018,3,2,403671.682301857
3616,4,1,12,6821,3,3,705738.2864354368
1815,4,3,46,8340,3,6,426448.2703536683
2148,3,1,33,3473,3,4,390243.5424669026
1315,2,1,10,6061,3,6,307496.402162296
3887,5,3,35,4606,2,1,712782.2611641161
3639,5,1,16,9846,3,10,780248.1846714382
1135,5,1,34,2451,2,1,251786.23920756893
2582,3,1,17,8432,1,3,524156.1659748545
3105,4,3,39,7260,3,8,634213.7650590594
1296,3,3,21,7203,3,8,361310.26772741077
1695,5,1,23,5765,0,4,377471.967817571
3007,2,1,18,4438,1,6,535823.6888047451
1651,1,3,36,9758,3,8,372388.2604875126
2487,4,3,38,6310,3,7,511487.5368024675
2731,4,1,20,3549,1,7,524386.2154410131
3537,3,1,7,8358,2,4,702045.0564724678
3227,4,1,27,5474,3,9,621697.1143843218
2368,5,2,4,2127,0,10,531539.8107268624
1756,5,3,16,7941,3,6,506944.07698515424
3538,3,2,36,9644,0,3,650711.2113844244
2436,5,3,35,6855,0,5,526733.4863464467
2091,2,3,18,8547,3,5,473027.86637400865
2240,3,3,26,9196,3,5,502496.40280113026
1991,2,3,33,7911,0,8,414910.9234658223
1866,1,3,10,8481,1,9,436922.4142847831
1084,2,3,44,8974,1,9,284934.75797547126
3244,1,3,46,4761,3,6,563700.7578670075
811,1,2,11,6456,2,6,235049.56563724158
2430,2,1,20,6664,1,9,473973.74694384536
3346,3,1,10,3415,3,4,617418.7698688875
1553,5,2,38,8361,1,6,397517.9884870975
2882,5,2,27,7693,2,4,609865.5081195479
3574,1,2,4,7788,3,1,686820.9579394811
3696,1,2,16,2201,2,7,601146.0792946479
889,3,3,19,8160,3,10,303080.70129804325
1575,4,1,40,4369,2,6,317981.2182798985
